siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id
814337242,ASSOCIATION ADMR DE GARGES LES GONESSE,Garges-lès-Gonesse,95140,95,2022-12-01,2022-11-15,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A2022023387
,ASSOCIATION PARC DU CHEVAL EN RHONE ALPES,Chazey-sur-Ain,01150,01,2022-11-30,2022-11-23,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202324253
450624192,"ASSOCIATION DES CINEMAS INDEPENDANTS, ADCI",Boussy-Saint-Antoine,91800,91,2022-11-30,2022-11-21,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202324984
,ASSOCIATION SENIORS HABITAT CONFORME,Nice,06300,06,2022-11-29,2022-11-17,Autre jugement prononçant,Jugement prononçant,A202202312962
404060865,ASSOCIATION COMITE DES AMIS DE L’INSTITUT CULTUREL ITALIEN COMAMICI,Grenoble,38000,38,2022-11-29,2022-11-15,Dépôt de l'état des créances,Avis de dépôt,A202202313040
,Association THEATRE ECOLE D’AQUITAINE,Agen,47000,47,2022-11-29,2022-11-17,Jugement modifiant le plan de continuation,Extrait de jugement,A202202313054
491617742,ASSOCIATION GROUPEMENT D’EMPLOYEURS DE LA PLAINE DE KERVEYER,Cléder,29233,29,2022-11-29,2022-11-14,Jugement de clôture pour extinction du passif,Jugement de clôture,A202202313025
,ASSOCIATION TERRA DARWIN ACADEMY,Méry-sur-Cher,18100,18,2022-11-27,2022-11-21,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202302397
510306061,ASSOCIATION LA FRANCAISE D’ANIMATION,Nîmes,30900,30,2022-11-27,2022-11-17,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202302469
429640485,ASSOCIATION GROUPEMENT D’EMPLOYEURS VERGERS VOISINS,Saint-Gilles,30800,30,2022-11-27,2022-11-17,Autre jugement prononçant,Jugement prononçant,A202202302462
,ASSOCIATION ATHLETIC CLUB MATISSE,Calais,62100,62,2022-11-27,2022-11-17,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202302609
402383889,ASSOCIATION HOCKEY SUR GLACE YONNAIS (HOGLY),La Roche-sur-Yon,85000,85,2022-11-27,2022-11-17,Autre jugement de clôture,Jugement de clôture,A202202302790
,ASSOCIATION INSTITUT DE FORMATION AUX METIERS DE LA VIANDE,Sallertaine,85300,85,2022-11-27,2022-11-08,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202302794
