fichier,siren,cloture,nom,total_produits,resultat_exploitation,resultat_net,fonds_propres,tresorerie,total_bilan,subv_pct,ratio_rentabilite,ratio_solidite,ratio_liquidite,ratio_resultat_net,cac_certifie,effectif_estime,ape_section,departement,label
775674260_31122024.pdf,775674260,2024-12-31,FEDERATION UNIE DES AUBERGES DE JEUNESSE,33436987.0,-463513.0,36019.0,-261086.0,1656462.0,19984508.0,2.0,-0.013862283703971294,-0.013064419699499232,0.04953981050984049,0.001077220265091469,1,374.0,55,75,1
775701808_31122022.pdf,775701808,2022-12-31,Association EMERGENCE-S,19308908.0,-692599.0,-770590.0,5705792.0,5305068.0,13106468.0,80.0,-0.035869402868354855,0.43534169541328754,0.2747471788668733,-0.03990852305060442,1,374.0,87,76,1
775701808_31122023.pdf,775701808,2023-12-31,EMERGENCE-S,22385919.0,-504022.0,-480037.0,6883331.0,2653268.0,11407683.0,77.0,-0.022515135518894714,0.6033943089056735,0.11852397035833105,-0.021443703070666877,0,374.0,87,76,1
776552465_31082022.pdf,776552465,2022-08-31,ASSOCIATION POUR LA GESTION DE L'ECOLE JEANNE D'ARC,1175146.0,-17574.0,5755.0,180445.0,92293.0,903270.0,42.0,-0.014954737538995155,0.19976861846402516,0.07853747534348923,0.00489726382934546,1,34.0,85,73,1
781173174_31122023.pdf,781173174,2023-12-31,Association Départementale des Francas de Charente,514889.0,-32952.0,-32743.0,-51914.0,97563.0,178454.0,45.0,-0.06399825981910665,-0.29090970222018,0.18948355859224028,-0.06359234708840157,1,14.0,94,16,1
781173174_31122024.pdf,781173174,2024-12-31,Association Départementale des Francas de Charente,449824.0,-52314.0,-52121.0,-104834.0,49496.0,80790.0,37.0,-0.11629881909368997,-1.2976110904814953,0.1100341466884826,-0.11586976239595931,1,14.0,94,16,1
782722763_31082024.pdf,782722763,2024-08-31,LVEF ASS.,1263375.0,103050.0,101548.0,138169.0,199562.0,244839.0,0.0,0.08156723063223509,0.564325944804545,0.15795943405560503,0.08037835163747897,0,34.0,88,13,1
784281099_31122022.pdf,784281099,2022-12-31,Association des Surintendantes d'Usines et de Services Sociaux - ETSUP,5389913.0,-611853.0,-719625.0,4710347.0,4521352.0,18152958.0,52.0,-0.11351815882742448,0.2594809617253563,0.8388543562762516,-0.1335132867636268,1,149.0,85,75,1
784281099_31122023.pdf,784281099,2023-12-31,Association des Surintendantes d'Usines et de Services Sociaux (ASUSS) et Ecole supérieure de travail social (ETSUP),4787038.0,-1281101.0,-1338645.0,3426362.0,844294.0,18451510.0,59.0,-0.2676187237285353,0.18569547966534988,0.17637085813816394,-0.2796395182156482,1,149.0,85,75,1
785566720_31122020.pdf,785566720,2020-12-31,SOLIHA Est parisien,7103274.0,-770305.0,-619890.0,558040.0,5724141.0,8597040.0,33.0,-0.10844365570017431,0.06491071345486353,0.8058454453537903,-0.08726820899771007,1,34.0,94,94,1
804560860_31122022.pdf,804560860,2022-12-31,AMUNANTI,95083.0,-636.0,-755.0,22917.0,20245.0,22917.0,79.0,-0.006688892862025809,1.0,0.21291923898068005,-0.007940430991870261,0,7.5,85,75,1
804560860_31122024.pdf,804560860,2024-12-31,AMUNANTI,132962.0,,-1752.0,19505.0,22760.0,40940.0,83.0,,0.47642892037127504,0.17117672718521082,-0.013176697101427475,0,7.5,85,75,1
818007460_31122022.pdf,818007460,2022-12-31,FISPE,138542.0,6058.0,6058.0,29763.0,23508.0,32452.0,96.0,0.04372681208586566,0.9171391593738445,0.1696813962552872,0.04372681208586566,0,7.5,88,75,1
818007460_31122023.pdf,818007460,2023-12-31,FISPE,144512.0,4491.0,991.0,19660.0,20944.0,23862.0,97.0,0.031077003985828168,0.8239041153298131,0.14492914083259523,0.006857562001771479,0,7.5,88,75,1
